Rank,Airline,Country,Punctuality,Service Quality,Handling of passenger rights,AirHelp Score,total
1,Qatar Airways,qatar,8.9,9.5,8.9,9.08,36.38
2,Lufthansa,germany,7.6,9.5,8.6,8.57,34.27
3,Etihad Airways,United Arab Emirates,8.6,9.3,7.5,8.43,33.83
4,Singapore Airlines,singapore,8.5,9.8,6.8,8.33,33.43
5,South African Airways,South Africa,8.5,7.8,8.7,8.31,33.31
6,Austrian Airlines,austria,8,8,8.9,8.29,33.19
7,Aegean Airlines,greece,9,8.3,7.4,8.19,32.89
8,Qantas,australia,8.9,8,7.5,8.12,32.52
9,Air Malta,malta,8.6,6.5,9.1,8.09,32.29
10,Virgin Atlantic,United Kingdom,8.2,8,7.9,8.04,32.14
11,KLM Royal Dutch Airlines,Netherlands,8.5,8,7.5,8.01,32.01
12,norwegian,norway,7.6,7.8,8.6,8,32
13,Wizz Air,hungary,8.8,6,9.1,7.95,31.85
14,flybe,United Kingdom,8.5,6.3,9.1,7.94,31.84
15,Turkish Airlines,turkey,7.3,8,8.5,7.94,31.74
16,Emirates,United Arab Emirates,7.8,8.3,7.7,7.91,31.71
17,El Al Israel Airlines,israel,8.1,6.3,9.4,7.9,31.7
18,Aer Lingus,ireland,8.4,8,7.3,7.9,31.6
19,Air Dolomiti,italy,8.6,8,7,7.88,31.48
20,Transavia.com,france,8.5,6.3,8.9,7.88,31.58
21,British Airways,United Kingdom,7.7,7.8,8.1,7.85,31.45
22,Ethiopian Airlines,ethiopia,8.4,7.8,7.4,7.85,31.45
23,American Airlines,USA,7.8,6.3,9.5,7.84,31.44
24,Kenya Airways,kenya,9.2,6.3,7.9,7.79,31.19
25,Luxair,luxembourg,8.4,6.8,8.2,7.78,31.18
26,Aeromexico,mexico,7.9,6.3,9.2,7.78,31.18
27,City Jet,ireland,8,6.3,9,7.77,31.07
28,Latam Airlines,chile,7.8,6.3,9.3,7.76,31.16
29,LOT Polish Airlines,poland,7.9,6.3,9.1,7.75,31.05
30,Air Europe,spain,8.3,6,8.8,7.7,30.8
31,Eurowings,germany,8,6,9.1,7.7,30.8
32,Croatia Airlines,croatia,8.1,6.3,8.7,7.69,30.79
33,Swiss,switzerland,7.6,8,7.4,7.68,30.68
34,Air France,france,7.5,7.8,7.8,7.67,30.77
35,China Southern Airlines,china,7.4,7.8,7.8,7.65,30.65
36,SAS Scandinavian Airlines,sweden,7.2,6.5,9.2,7.65,30.55
37,United Airlines,USA,7.9,6,8.9,7.59,30.39
38,Oman Air,oman,7.3,7.8,7.7,7.57,30.37
39,Ukraine International Airlines,ukraine,9.1,4.5,8.6,7.42,29.62
40,Air Canada,Canada,5.5,7.8,9,7.41,29.71
41,Westjet,Canada,6.2,6.5,9.5,7.39,29.59
42,Air Baltic Corporation,latvia,9.1,6.3,6.8,7.37,29.57
43,Finnair,finland,7,8,7.1,7.37,29.47
44,Air Transat ATInc.,Canada,6.2,6.3,9.7,7.37,29.57
45,Icelandair,iceland,7.8,6.3,8,7.36,29.46
46,Garuda Indonesia,indonesia,7.6,9.8,4.8,7.36,29.56
47,Delta Air Lines,USA,8.1,6.5,7.4,7.33,29.33
48,Brussels Airlines,belgium,7.7,6.3,8.1,7.33,29.43
49,Tarom,romania,7.8,6.3,7.9,7.31,29.31
50,Saudi Arabian Airlines,Saudi Arabia,8.1,7.8,6,7.29,29.19
51,Thomas Cook Airlines,United Kingdom,8,6.3,7.4,7.23,28.93
52,Adria Airways,slovenia,7.9,6,7.8,7.23,28.93
53,Avianca,colombia,7.4,6.5,7.8,7.22,28.92
54,Vueling Airlines,spain,8.8,6,6.5,7.09,28.39
55,Aeroflot Russian Airlines,russia,7.9,8,5,6.97,27.87
56,Czech Airlines,Czechia,7.4,6,7.1,6.81,27.31
57,Kuwait Airways,kuwait,7.6,6,6.4,6.66,26.66
58,Air India,india,5.8,6.3,7.8,6.61,26.51
59,Asiana Airlines,South Korea,5.7,9.5,4,6.41,25.61
60,Tap Portugal,Portugal,6.9,6.3,6.1,6.4,25.7
61,Jet2.com,United Kingdom,8.5,6.8,3.8,6.37,25.47
62,Thai Airways,thailand,6.9,8,4.2,6.36,25.46
63,Jet Airways,india,6.5,6.5,5.6,6.2,24.8
64,Aerolineas Argentinas,argentina,8.5,6.5,3.6,6.2,24.8
65,Iberia,spain,8.4,7.8,2.3,6.13,24.63
66,Korean Air,South Korea,6.4,8.3,3.7,6.13,24.53
67,Ryanair,ireland,8.6,6.3,3.3,6.03,24.23
68,Air Mauritius,mauritius,6.9,7.8,3.3,5.99,23.99
69,Easyjet,United Kingdom,7.9,7.8,1.3,5.66,22.66
70,Pakistan International,pakistan,6.1,6,4.2,5.43,21.73
71,Royal Jordanian,jordan,8.3,6.3,0.8,5.13,20.53
72,WOW Air,iceland,7.5,6,1.7,5.04,20.24